Country,OBI (2010),OBI (2012),OBI (2015),OBI (2016),ATI (2010),ATI (2014),ATI (2015),ATI (2016),AD (2009),AD (2012),AD (2015),AD (2016),CL (2010),CL (2011),CL (2012),CL (2013),CL (2014),CL (2016),Score 2011,Score 2012,Score 2013,Score 2014,Score 2015,Score 2016,2011 Pts Possible,2012 Pts Possible,2013 Pts Possible,2014 Pts Possible,2015 Pts Possible,2016 Pts Possible,2011 Share of Total,2012 Share of Total,2013 Share of Total,2014 Share of Total,2015 Share of Total,2016 Share of Total,OBI Exec Budget (2015),OBI Audit Report (2015),OBI Exec Budget (2016),OBI Audit Report (2016,ATI Law Status (2015),ATI Law Status (2016),AD 2009 (Elected),AD Appntd (2009),AD 2012 (Elected),AD 2012 (Appnt),AD 2015 (Law),AD 2015 (Public),AD 2016 (Law),AD 2016 (Public),EIU CL (2010) ,EIU CL (2011),EIU CL (2012) ,EIU CL (2013),EIU CL (2014) ,EIU CL (2016),OGP Participating Country?
Thailand,4,2,2,2,4,4,4,4,4,4,4,4,3,3,3,3,3,3,15,15,13,13,13,13,16,16,16,16,16,16,94%,94%,81%,81%,81%,81%,Yes,No,Yes,No,Law,Law,public,public,Yes,Yes,Yes,Yes,Yes,Yes,7.06,7.06,7.06,6.76,6.76,6.18,No
Timor-Leste,2,4,4,4,0,0,0,0,0,2,2,2,4,4,4,4,4,4,6,6,10,10,10,10,16,16,16,16,16,16,38%,38%,63%,63%,63%,63%,Yes,Yes,Yes,Yes,None,None,none,none,Yes,No,Yes,No,Yes,No,8.24,8.24,7.94,7.94,7.94,7.94,No
Togo,ND,ND,ND,ND,0,0,0,4,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,8,12,12,12,12,12,12,33%,33%,33%,33%,33%,67%,ND,ND,ND,ND,None,Law,congress,none,Yes,No,Yes,No,Yes,No,4.12,4.12,4.12,4.12,4.12,4.12,No
Tonga,ND,ND,ND,ND,ND,ND,ND,ND,0,0,0,0,ND,ND,ND,ND,ND,ND,0,0,0,0,0,0,12,12,12,12,12,12,0%,0%,0%,0%,0%,0%,ND,ND,ND,ND,ND,ND,none,none,No,No,No,No,No,No,ND,ND,ND,ND,ND,ND,No
Trinidad and Tobago,4,4,4,4,4,4,4,4,2,2,2,2,4,4,4,4,4,4,14,14,14,14,14,14,16,16,16,16,16,16,88%,88%,88%,88%,88%,88%,Yes,Yes,Yes,Yes,Law,Law,congress,nonpublic,Yes,No,Yes,No,Yes,No,7.94,7.94,7.94,7.94,8.24,8.24,Yes
Tunisia,2,4,2,2,4,4,4,4,3,2,2,2,2,2,2,2,3,3,11,11,12,12,11,11,16,16,16,16,16,16,69%,69%,75%,75%,69%,69%,Yes,No,Yes,No,Law,Law,none,public,Yes,No,Yes,No,Yes,No,3.24,4.41,4.71,4.71,5,5.88,Yes
Turkey,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,12,12,12,12,12,12,16,16,16,16,16,16,75%,75%,75%,75%,75%,75%,Yes,Yes,Yes,Yes,Law,Law,congress,nonpublic,Yes,No,Yes,No,Yes,No,4.71,4.71,4.12,3.82,3.53,2.65,Inactive
Turkmenistan,ND,ND,ND,ND,0,0,0,0,0,ND,ND,ND,1,1,1,1,1,1,1,1,1,1,1,1,12,12,12,12,12,12,8%,8%,8%,8%,8%,8%,ND,ND,ND,ND,None,None,ND,none,ND,ND,ND,ND,ND,ND,0.59,0.59,0.59,0.59,0.59,0.59,No
Uganda,4,4,4,4,4,4,4,4,3,4,4,4,3,3,3,3,3,3,14,14,15,15,15,15,16,16,16,16,16,16,88%,88%,94%,94%,94%,94%,Yes,Yes,Yes,Yes,Law,Law,congress,public,Yes,Yes,Yes,Yes,Yes,Yes,6.18,5.88,5.88,6.18,6.18,6.18,No
Ukraine,4,4,4,4,4,4,4,4,3,2,2,2,4,3,3,3,3,3,15,14,13,13,13,13,16,16,16,16,16,16,94%,88%,81%,81%,81%,81%,Yes,Yes,Yes,Yes,Law,Law,congress,public,Yes,No,Yes,No,Yes,No,7.94,7.35,7.06,7.06,6.76,7.06,Yes
United Arab Emirates,ND,ND,ND,ND,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,12,12,12,12,12,12,17%,17%,17%,17%,17%,17%,ND,ND,ND,ND,None,None,none,ND,No,No,No,No,No,No,2.94,3.24,3.24,2.94,2.94,2.94,No
United Kingdom,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,16,16,16,16,16,16,16,16,16,16,16,16,100%,100%,100%,100%,100%,100%,Yes,Yes,Yes,Yes,Law,Law,public,public,Yes,Yes,Yes,Yes,Yes,Yes,9.12,9.12,9.12,9.41,9.41,9.12,Yes
United States,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,16,16,16,16,16,16,16,16,16,16,16,16,100%,100%,100%,100%,100%,100%,Yes,Yes,Yes,Yes,Law,Law,public,public,Yes,Yes,Yes,Yes,Yes,Yes,8.53,8.53,8.53,8.53,8.53,8.24,Yes
Uruguay,ND,ND,ND,ND,4,4,4,4,2,2,2,2,4,4,4,4,4,4,10,10,10,10,10,10,12,12,12,12,12,12,83%,83%,83%,83%,83%,83%,ND,ND,ND,ND,Law,Law,congress,nonpublic,Yes,No,Yes,No,Yes,No,10,10,10,10,10,10,Yes
Uzbekistan,ND,ND,ND,ND,4,4,4,4,0,0,0,0,1,1,1,1,1,1,5,5,5,5,5,5,12,12,12,12,12,12,42%,42%,42%,42%,42%,42%,ND,ND,ND,ND,Law,Law,none,none,No,No,No,No,No,No,0.59,0.59,0.59,0.59,0.59,0.59,No
Vanuatu,ND,ND,ND,ND,1,1,1,4,3,2,2,2,ND,ND,ND,ND,ND,ND,4,4,3,3,3,6,12,12,12,12,12,12,33%,33%,25%,25%,25%,50%,ND,ND,ND,ND,Draft law,Law,congress,public,Yes,No,Yes,No,Yes,No,ND,ND,ND,ND,ND,ND,No
Venezuela,4,4,0,0,1,3,3,3,2,2,2,2,3,3,3,3,3,3,10,10,12,12,8,8,16,16,16,16,16,16,63%,63%,75%,75%,50%,50%,No,No,No,No,Constitutional right,Constitutional right,congress,nonpublic,Yes,No,Yes,No,Yes,No,5.88,5.88,5.88,5.88,5.88,5.29,No
Vietnam,2,0,0,0,1,3,3,4,3,2,2,2,1,1,1,1,1,2,7,7,6,6,6,8,16,16,16,16,16,16,44%,44%,38%,38%,38%,50%,No,No,No,No,Constitutional right,Law,congress,public,Yes,No,Yes,No,Yes,No,1.47,1.47,1.47,1.76,2.35,2.94,No
Yemen,2,0,2,0,1,4,4,4,0,2,2,2,1,1,1,1,1,1,4,4,7,7,9,7,16,16,16,16,16,16,25%,25%,44%,44%,56%,44%,Yes,No,No,No,Law,Law,none,none,Yes,No,Yes,No,Yes,No,1.18,0.88,1.18,1.18,1.18,0.88,No
Zambia,4,2,4,4,1,1,1,1,3,4,4,4,3,3,3,3,3,3,11,11,10,10,12,12,16,16,16,16,16,16,69%,69%,63%,63%,75%,75%,Yes,Yes,Yes,Yes,Draft law,Draft law,public,nonpublic,Yes,Yes,Yes,Yes,Yes,Yes,7.35,7.35,7.35,7.35,7.35,6.76,No
Zimbabwe,ND,2,2,4,4,4,4,4,0,0,0,0,2,2,2,2,2,2,6,6,8,8,8,10,12,12,16,16,16,16,50%,50%,50%,50%,50%,63%,Yes,No,Yes,Yes,Law,Law,none,none,No,No,No,No,No,No,2.94,3.24,3.24,3.24,3.24,3.24,No
